date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:09	677/677	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2025%20Nov%202023%2012:51:08%20GMT	https://html.designingmedia.com/robots.txt		(from )
18:21:10	91325/91325	---M--	200	added ('OK')	text/html	date:Wed,%2011%20May%202022%2012:57:12%20GMT	https://html.designingmedia.com/folioflix/?storefront=envato-elements	C:/Users/mitta/Downloads/Responsive%20Personal%20Portfolio/html.designingmedia.com/folioflix/index04b9.html	(from )
18:21:11	57095/57095	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Nov%202021%2018:40:34%20GMT	https://html.designingmedia.com/folioflix/assets/css/animate.css	C:/Users/mitta/Downloads/Responsive%20Personal%20Portfolio/html.designingmedia.com/folioflix/assets/css/animate.css	(from https://html.designingmedia.com/folioflix/?storefront=envato-elements)
18:21:11	156228/156228	---MCZ	200	added ('OK')	text/css	etag:W/%22aa1272633e7e552395d147a499bad186%22	https://pro.fontawesome.com/releases/v5.10.0/css/all.css	C:/Users/mitta/Downloads/Responsive%20Personal%20Portfolio/pro.fontawesome.com/releases/v5.10.0/css/all.css	(from https://html.designingmedia.com/folioflix/?storefront=envato-elements)
18:21:12	144877/144877	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Nov%202021%2020:09:24%20GMT	https://html.designingmedia.com/folioflix/assets/bootstarp/bootstrap.min.css	C:/Users/mitta/Downloads/Responsive%20Personal%20Portfolio/html.designingmedia.com/folioflix/assets/bootstarp/bootstrap.min.css	(from https://html.designingmedia.com/folioflix/?storefront=envato-elements)
18:21:13	1959/1959	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2009:17:08%20GMT	https://html.designingmedia.com/folioflix/assets/css/super-classes.css	C:/Users/mitta/Downloads/Responsive%20Personal%20Portfolio/html.designingmedia.com/folioflix/assets/css/super-classes.css	(from https://html.designingmedia.com/folioflix/?storefront=envato-elements)
18:21:14	33727/33727	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jun%202022%2008:00:03%20GMT	https://html.designingmedia.com/folioflix/assets/css/style.css	C:/Users/mitta/Downloads/Responsive%20Personal%20Portfolio/html.designingmedia.com/folioflix/assets/css/style.css	(from https://html.designingmedia.com/folioflix/?storefront=envato-elements)
18:21:14	24970/24970	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Mar%202022%2011:59:42%20GMT	https://html.designingmedia.com/folioflix/assets/css/mobile.css	C:/Users/mitta/Downloads/Responsive%20Personal%20Portfolio/html.designingmedia.com/folioflix/assets/css/mobile.css	(from https://html.designingmedia.com/folioflix/?storefront=envato-elements)
18:21:14	100782/100782	---M-Z	200	added ('OK')	text/css	etag:%22623a082a-4ef8%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	C:/Users/mitta/Downloads/Responsive%20Personal%20Portfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	(from https://html.designingmedia.com/folioflix/?storefront=envato-elements)
18:21:15	3249/3249	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Feb%202022%2015:01:34%20GMT	https://html.designingmedia.com/folioflix/assets/image/logo-img.png	C:/Users/mitta/Downloads/Responsive%20Personal%20Portfolio/html.designingmedia.com/folioflix/assets/image/logo-img.png	(from https://html.designingmedia.com/folioflix/?storefront=envato-elements)
